"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Akialoa stejnegeri","Kauai akialoa (honeycreeper)","Wherever found","1","Endangered","Birds"
"Hemignathus wilsoni","akiapolaau","Wherever found","1","Endangered","Birds"
"Gymnogyps californianus","California condor","U.S.A. only, except where listed as an experimental population","8","Endangered","Birds"
"Grus americana","Whooping crane","Wherever found, except where listed as an experimental population","2","Endangered","Birds"
"Corvus hawaiiensis","Hawaiian (='alala) Crow","Wherever found","1","Endangered","Birds"
"Anas wyvilliana","Hawaiian (=koloa) Duck","Wherever found","1","Endangered","Birds"
"Anas laysanensis","Laysan duck","Wherever found","1","Endangered","Birds"
"Telespyza cantans","Laysan finch (honeycreeper)","Wherever found","1","Endangered","Birds"
"Telespyza ultima","Nihoa finch (honeycreeper)","Wherever found","1","Endangered","Birds"
"Branta (=Nesochen) sandvicensis","Hawaiian goose","Wherever found","1","Threatened","Birds"
"Palmeria dolei","crested honeycreeper (Akohekohe)","Wherever found","1","Endangered","Birds"
"Acrocephalus familiaris kingi","Nihoa millerbird (old world warbler)","Wherever found","1","Endangered","Birds"
"Gallinula galeata sandvicensis","Hawaiian common gallinule","Wherever found","1","Endangered","Birds"
"Moho braccatus","Kauai `o`o (honeyeater)","Wherever found","1","Endangered","Birds"
"Psittirostra psittacea","`O`u (honeycreeper)","Wherever found","1","Endangered","Birds"
"Loxioides bailleui","Palila (honeycreeper)","Wherever found","1","Endangered","Birds"
"Amazona vittata","Puerto Rican parrot","Wherever found","4","Endangered","Birds"
"Pseudonestor xanthophrys","Maui parrotbill (Kiwikiu)","Wherever found","1","Endangered","Birds"
"Pterodroma sandwichensis","Hawaiian petrel","Wherever found","1","Endangered","Birds"
"Tympanuchus cupido attwateri","Attwater's greater prairie-chicken","Wherever found","2","Endangered","Birds"
"Rallus obsoletus [=longirostris] yumanensis","Yuma Ridgways (clapper) rail","Wherever found","2","Endangered","Birds"
"Ammodramus maritimus mirabilis","Cape Sable seaside sparrow","Wherever found","4","Endangered","Birds"
"Myadestes palmeri","Small Kauai (=puaiohi) Thrush","Wherever found","1","Endangered","Birds"
"Megapodius laperouse","Micronesian megapode","Wherever found","1","Endangered","Birds"
